               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.026803,            0.034289,           0.0087454,             0.99864,             0.99954,             0.99495,              0.9045,            0.023043,            0.032225,             0.00709,           0.0033321,           0.0033321,           0.0033321
                  68,            0.026587,            0.034849,           0.0085779,             0.99864,             0.99954,             0.99495,             0.90314,            0.023067,            0.032354,            0.007087,           0.0032093,           0.0032093,           0.0032093
                  69,            0.026763,            0.033664,           0.0087106,             0.99864,             0.99954,             0.99497,             0.90678,            0.022884,            0.031826,           0.0070493,           0.0030888,           0.0030888,           0.0030888
                  70,            0.026442,            0.034087,           0.0087272,             0.99857,             0.99954,             0.99497,             0.90597,            0.022946,            0.031917,           0.0070456,           0.0029706,           0.0029706,           0.0029706
                  71,            0.026318,            0.032974,           0.0085845,             0.99865,             0.99954,             0.99495,             0.90666,            0.022937,            0.031834,           0.0070215,            0.002855,            0.002855,            0.002855
                  72,            0.026483,            0.033525,           0.0087473,             0.99864,             0.99954,             0.99497,             0.90587,            0.022813,            0.031564,           0.0070112,           0.0027419,           0.0027419,           0.0027419
                  73,            0.026149,            0.033567,           0.0085614,             0.99865,             0.99954,             0.99495,             0.90509,            0.022806,            0.031666,            0.006997,           0.0026316,           0.0026316,           0.0026316
                  74,            0.025893,            0.033422,           0.0084666,             0.99864,             0.99954,             0.99496,             0.90687,            0.022807,            0.031888,           0.0070355,           0.0025241,           0.0025241,           0.0025241
                  75,               0.026,            0.033206,           0.0085299,             0.99859,             0.99954,             0.99495,             0.90712,            0.022818,            0.031786,           0.0069934,           0.0024195,           0.0024195,           0.0024195
                  76,            0.026415,            0.033498,           0.0086691,             0.99866,             0.99954,             0.99494,             0.90558,            0.022847,            0.031728,           0.0069715,            0.002318,            0.002318,            0.002318
                  77,             0.02629,            0.033838,           0.0086823,             0.99858,             0.99954,             0.99494,             0.90621,            0.022792,            0.031711,           0.0069741,           0.0022196,           0.0022196,           0.0022196
                  78,             0.02598,            0.033014,           0.0085641,             0.99865,             0.99954,             0.99495,             0.90841,            0.022707,            0.031739,           0.0069707,           0.0021245,           0.0021245,           0.0021245
                  79,            0.026013,            0.033605,           0.0085152,             0.99866,             0.99954,             0.99495,             0.90786,            0.022727,            0.031667,           0.0069645,           0.0020327,           0.0020327,           0.0020327
                  80,            0.025893,            0.033459,           0.0085415,             0.99865,             0.99954,             0.99495,             0.90873,            0.022651,            0.031362,           0.0069443,           0.0019443,           0.0019443,           0.0019443
                  81,            0.025904,            0.032649,           0.0085546,             0.99864,             0.99954,             0.99495,             0.90824,            0.022682,            0.031538,           0.0069487,           0.0018594,           0.0018594,           0.0018594
                  82,            0.025795,            0.032605,           0.0085157,             0.99864,             0.99954,             0.99496,             0.90756,            0.022681,            0.031473,           0.0069492,           0.0017781,           0.0017781,           0.0017781
                  83,            0.025672,            0.032818,           0.0084113,             0.99863,             0.99954,             0.99496,              0.9084,            0.022662,            0.031513,           0.0069374,           0.0017005,           0.0017005,           0.0017005
                  84,            0.026049,            0.033287,           0.0086329,             0.99865,             0.99954,             0.99496,             0.91008,            0.022618,            0.031205,           0.0069133,           0.0016267,           0.0016267,           0.0016267
                  85,            0.025554,            0.032808,           0.0084626,             0.99862,             0.99954,             0.99496,             0.90986,            0.022602,            0.031305,           0.0069183,           0.0015566,           0.0015566,           0.0015566
                  86,            0.025919,            0.033231,           0.0085812,             0.99863,             0.99954,             0.99496,              0.9095,            0.022632,            0.031455,           0.0069354,           0.0014905,           0.0014905,           0.0014905
                  87,            0.025661,            0.032874,           0.0084566,             0.99862,             0.99954,             0.99495,             0.90894,            0.022604,            0.031346,           0.0069109,           0.0014283,           0.0014283,           0.0014283
                  88,            0.026033,             0.03328,           0.0086088,              0.9986,             0.99954,             0.99496,             0.91013,             0.02256,            0.031304,           0.0069159,           0.0013701,           0.0013701,           0.0013701
                  89,            0.025415,            0.032136,           0.0083388,             0.99866,             0.99954,             0.99492,             0.91017,            0.022576,            0.031305,           0.0069235,            0.001316,            0.001316,            0.001316
                  90,             0.02553,            0.032251,           0.0084282,             0.99865,             0.99954,             0.99494,             0.91016,            0.022573,            0.031399,           0.0069135,            0.001266,            0.001266,            0.001266
                  91,            0.026072,             0.03318,           0.0086629,             0.99865,             0.99954,             0.99496,             0.90988,            0.022577,            0.031146,           0.0068939,           0.0012202,           0.0012202,           0.0012202
                  92,            0.025656,            0.032685,           0.0084961,             0.99866,             0.99954,             0.99496,             0.91009,            0.022551,            0.031372,           0.0069023,           0.0011787,           0.0011787,           0.0011787
                  93,            0.025758,             0.03228,           0.0084877,             0.99866,             0.99954,             0.99496,             0.90948,            0.022554,            0.031283,           0.0069067,           0.0011414,           0.0011414,           0.0011414
                  94,            0.025838,            0.033535,           0.0085417,              0.9986,             0.99954,             0.99495,             0.91017,            0.022544,            0.031172,           0.0068881,           0.0011084,           0.0011084,           0.0011084
                  95,            0.025574,            0.032081,           0.0084394,             0.99865,             0.99954,             0.99497,             0.91054,            0.022498,            0.031144,           0.0068945,           0.0010797,           0.0010797,           0.0010797
                  96,            0.025384,            0.032348,           0.0083675,             0.99861,             0.99954,             0.99496,              0.9109,            0.022519,            0.031057,           0.0068915,           0.0010554,           0.0010554,           0.0010554
                  97,            0.025354,            0.032958,             0.00835,             0.99862,             0.99954,             0.99497,             0.91147,            0.022524,            0.031109,           0.0068809,           0.0010355,           0.0010355,           0.0010355
                  98,            0.025287,            0.031697,           0.0083427,             0.99865,             0.99954,             0.99497,              0.9114,            0.022531,            0.031135,              0.0069,             0.00102,             0.00102,             0.00102
                  99,            0.025599,            0.033233,           0.0084785,             0.99856,             0.99954,             0.99497,             0.91258,            0.022484,            0.031203,           0.0068989,           0.0010089,           0.0010089,           0.0010089
